"Name","activation","lr","num_epochs","num_hidden_layers","num_neurons_per_layer","optimizer","train_loss","train_acc","train_f1","train_precision","train_recall","val_loss","val_acc","val_f1","val_precision","val_recall"
"generous-armadillo-688","sigmoid","0.0001","100","16","16","mini-batch","1.3732074969859547","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","1.3237060623328976","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
"pious-sweep-486","sigmoid","0.00001","50","16","16","mini-batch","1.5839922245256208","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","1.5259017077408874","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
"lemon-dew-690","sigmoid","0.0001","100","16","16","mini-batch","1.3732074969859547","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","1.3237060623328976","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
"lively-sweep-586","tanh","0.00001","50","8","16","sgd","1.4986181154654965","0.4431072210065646","0.26279153184499376","0.20047389707017382","0.38132793715408925","1.498327058166364","0.4298245614035088","0.2500567577246522","0.1903344671201814","0.36439496684749845"
"vital-sweep-593","tanh","0.00001","50","16","8","sgd","1.2781034855588733","0.43326039387308535","0.2859519663538172","0.1746817798915604","0.7877202849643794","1.2690448787442399","0.4298245614035088","0.2825001263289178","0.16992630385487528","0.8370030581039756"
"morning-sweep-659","tanh","0.0001","100","4","4","mini-batch","1.5992379289674505","0.47811816192560175","0.2535375395946437","0.19545135794093838","0.3607483187671867","1.6955479064223258","0.4298245614035088","0.22580327663266272","0.16850907029478457","0.3421296296296296"
"clean-sweep-485","sigmoid","0.00001","50","16","16","batch","1.6013056907235776","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","1.542530559742382","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
"crimson-sweep-420","relu","0.0001","50","16","16","mini-batch","1.543391047936041","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","1.5012449098137088","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
"happy-sweep-484","sigmoid","0.00001","50","16","16","sgd","1.4011095599440273","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","1.350907591078845","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
"vocal-sweep-481","sigmoid","0.00001","50","16","8","sgd","1.5416349074590734","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","1.5185435531575369","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
"morning-sweep-431","relu","0.0001","100","8","4","batch","1.7912148798288148","0.4551422319474836","0.29410179289150895","0.18789530612594488","0.6764738043740248","1.7906298520390924","0.4298245614035088","0.2694156088004803","0.16907596371882086","0.6627021144278608"
"jolly-sweep-473","sigmoid","0.00001","50","8","16","sgd","1.6001523223081329","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","1.5834888795869326","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
"lilac-totem-563","relu","0.0001","100","8","8","mini-batch","1.6815255208201298","0.4201312910284464","0.2565999414401115","0.1717053030506959","0.5075363825363826","1.6792291433214717","0.4298245614035088","0.2764401640806135","0.17006802721088435","0.7380952380952381"
"iconic-sweep-470","sigmoid","0.00001","50","4","8","mini-batch","2.1884766971770926","0.400437636761488","0.2812535612535612","0.16666666666666666","0.900072939460248","2.1585844769162077","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.904970760233918"
"effortless-field-766","tanh","0.0001","50","8","16","mini-batch","1.7468936655772789","0.37527352297593","0.18196329811326672","0.17122164365843165","0.19414292799419297","1.6149347931856433","0.4298245614035088","0.1980911405247485","0.18941326530612246","0.20760233918128657"
"glorious-wave-566","relu","0.0001","100","8","16","mini-batch","1.4489233165397792","0.42560175054704596","0.27953541910979623","0.16862299813119486","0.8167670950425711","1.437741237107466","0.4298245614035088","0.2817936780200931","0.17006802721088435","0.8214285714285715"
"leafy-sweep-449","relu","0.0001","100","8","8","mini-batch","1.6815255208201298","0.4201312910284464","0.2565999414401115","0.1717053030506959","0.5075363825363826","1.6792291433214717","0.4298245614035088","0.2764401640806135","0.17006802721088435","0.7380952380952381"
"stoic-sweep-450","relu","0.0001","100","8","16","mini-batch","1.4489233165397792","0.42560175054704596","0.27953541910979623","0.16862299813119486","0.8167670950425711","1.437741237107466","0.4298245614035088","0.2817936780200931","0.17006802721088435","0.8214285714285715"
"deft-sweep-455","relu","0.0001","100","16","8","mini-batch","1.3870726161868558","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","1.3617739076569297","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
"zesty-sweep-457","relu","0.0001","100","16","16","batch","1.7356761951220674","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","1.733595468449386","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
